Nombre,Bailabilidad,Energía,Género
TQG,0.72,0.63,1
Me Porto Bonito,0.911,0.712,1
Tití Me Preguntó,0.65,0.715,1
Chanel,0.852,0.675,1
Classy 101,0.859,0.658,1
Efecto,0.801,0.475,1
Ojitos Lindos,0.647,0.686,1
Gato de Noche,0.892,0.662,1
LA CANCIÓN,0.754,0.646,1
Moscow Mule,0.804,0.674,1
Mejor Que Yo,0.624,0.655,1
Mas Rica Que Ayer,0.818,0.666,1
Yandel 150,0.783,0.729,1
La Bachata,0.835,0.679,1
CHORRITO PA LAS ANIMAS,0.743,0.831,1
Neverita,0.876,0.498,1
Hey Mor,0.901,0.589,1
PROVENZA,0.87,0.517,1
Party,0.829,0.799,1
EL HECHIZO,0.664,0.529,1
X SI VOLVEMOS,0.794,0.807,1
MAÑANA SERÁ BONITO,0.777,0.715,1
AMARGURA,0.92,0.696,1
No Me Conoce - Remix,0.804,0.787,1
TUS GAFITAS,0.821,0.696,1
Yonaguni,0.644,0.648,1
Feliz Cumpleaños Ferxxo,0.865,0.573,1
REMIX EXCLUSIVO,0.651,0.557,1
La Jumpa,0.713,0.703,1
Tarot,0.795,0.684,1
Lo Siento BB:/ (with Bad Bunny & Julieta Venegas),0.639,0.703,1
Niña Bonita,0.823,0.615,1
Pepas,0.762,0.766,1
Gasolina,0.852,0.797,1
GUCCI LOS PAÑOS,0.791,0.45,1
CAIRO,0.957,0.677,1
DÁKITI,0.731,0.573,1
Dile,0.817,0.714,1
VACAXIONES,0.558,0.69,1
FRIKI,0.826,0.878,1
BESTIES,0.779,0.825,1
LOKERA,0.836,0.826,1
La Corriente,0.663,0.786,1
Es un Secreto,0.841,0.783,1
To the Hellfire,0.388,0.83,0
Doomswitch,0.249,0.951,0
Pain Remains I: Dancing Like Flames,0.29,0.799,0
Of the Abyss,0.236,0.888,0
Sun//Eater,0.245,0.889,0
Erase Me,0.488,0.903,0
Step One,0.379,0.502,0
Ghost Of Me,0.318,0.922,0
"Pain Remains II: After All I've Done, I'll Disappear",0.33,0.862,0
Pain Remains III: In a Sea of Fire,0.181,0.839,0
"Welcome Back, O' Sleeping Dreamer",0.203,0.843,0
Leech,0.254,0.98,0
Into the Earth,0.359,0.828,0
Cursed to Die,0.394,0.948,0
Hollowed Heart,0.372,0.985,0
Bones,0.29,0.869,0
Gutless,0.383,0.975,0
...And I Return to Nothingness,0.392,0.922,0
Nymphetamine Fix,0.462,0.905,0
My Meds Aren't Working,0.288,0.792,0
Freezing Moon,0.168,0.974,0
In Death,0.551,0.965,0
Soulless Existence,0.414,0.93,0
Chainsaw Gutsfuck,0.249,0.828,0
Immortal,0.398,0.871,0
I Long for Rest,0.53,0.833,0
Apotheosis,0.212,0.831,0
Puritania,0.303,0.969,0
Wrath,0.215,0.922,0
Dunkelheit,0.295,0.545,0
Backstabber,0.29,0.959,0
Contraband (feat. Courtney LaPlante),0.475,0.959,0
Slaughter,0.294,0.971,0
Ov Fire And The Void,0.465,0.978,0
The Attendant,0.437,0.757,0
The Fool,0.469,0.99,0
Godless,0.462,0.991,0
King Ov Deception,0.424,0.848,0
In Constraints,0.34,0.94,0
Blow Your Trumpets Gabriel,0.173,0.938,0
Dream House,0.1,0.804,0
Deathcrush,0.219,0.908,0
FTBS,0.265,0.912,0
Stress Builds Character,0.286,0.78,0
Fear of Failure,0.246,0.924,0
Deathmask Divine,0.432,0.982,0
